Program ID,Broad Field,Field,Institution Name,Program Name,Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty (2006),Female Faculty as a Percent of Total Core and New Faculty (2006),Non-Asian Minority Students as a Percent of Total Domestic Students (Fall 2005),Female Students as a Percent of Total Students (Fall 2005),International Students as a Percent of Total Students (Fall 2005)
20045511,Physical and Mathematical Sciences,Physics,University of North Carolina At Chapel Hill,Physics and Astronomy,3.4%,10.3%,5.5%,26%,24.7%
20060266,Physical and Mathematical Sciences,Physics,University of North Texas,Physics,10.5%,9.1%,4.8%,5.6%,41.7%
20035990,Physical and Mathematical Sciences,Physics,University of Notre Dame,Physics,0%,11.9%,2.4%,25.5%,54.1%
20051796,Physical and Mathematical Sciences,Physics,University of Oklahoma Norman Campus,Physics,3.4%,13.8%,0%,27.7%,55.3%
20043979,Physical and Mathematical Sciences,Physics,University of Oregon,Physics,0%,3.4%,0%,17.1%,40.2%
20037066,Physical and Mathematical Sciences,Physics,University of Pennsylvania,Physics and Astronomy,3.1%,17.6%,5.7%,26.3%,36.8%
20069348,Physical and Mathematical Sciences,Physics,University of Rochester,Optics,0%,0%,0%,27.1%,42.9%
20049892,Physical and Mathematical Sciences,Physics,University of Pittsburgh Pittsburgh Campus,Physics and Astronomy,2.2%,8.7%,3.2%,17.8%,65.6%
20069380,Physical and Mathematical Sciences,Physics,University of Rochester,Physics,0%,16.1%,10.6%,19%,45.7%
20067890,Physical and Mathematical Sciences,Physics,University of South Carolina Columbia,Physics,0%,8.3%,21.4%,23.1%,60.5%
20024943,Physical and Mathematical Sciences,Physics,University of South Florida,Physics,5.9%,10.5%,13.6%,28.3%,52.2%
20068352,Physical and Mathematical Sciences,Physics,University of Southern California,Physics,3.6%,5.9%,0%,13.3%,72%
20045977,Physical and Mathematical Sciences,Physics,University of Tennessee,Physics,8.6%,5.4%,6.7%,14.3%,46.4%
20061799,Physical and Mathematical Sciences,Physics,University of Texas At Austin,Physics,4.2%,5.6%,6.8%,12.7%,0%
20056160,Physical and Mathematical Sciences,Physics,University of Texas At Dallas,Physics,0%,0%,0%,21.1%,34.2%
20043597,Physical and Mathematical Sciences,Physics,University of Toledo,Physics,0%,13.6%,8.3%,21.2%,51.9%
20047771,Physical and Mathematical Sciences,Physics,University of Utah,Physics,4.3%,0%,5.1%,16%,51.9%
20023339,Physical and Mathematical Sciences,Physics,University of Virginia,Physics,0%,8.6%,0%,16.7%,40%
20023465,Physical and Mathematical Sciences,Physics,University of Virginia,Engineering Physics,33.3%,0%,8%,8.3%,25%
20059950,Physical and Mathematical Sciences,Physics,University of Washington,Physics,2.8%,10.4%,0%,13%,16.8%
20030843,Physical and Mathematical Sciences,Physics,University of Wisconsin-Madison,Medical Physics,0%,3.8%,6.8%,34.8%,27.3%
20030979,Physical and Mathematical Sciences,Physics,University of Wisconsin-Madison,Physics,2%,13%,2.8%,20.6%,25.6%
20026718,Physical and Mathematical Sciences,Physics,University of Wisconsin-Milwaukee,Physics,5.3%,14.3%,0%,25%,69.4%
20062730,Physical and Mathematical Sciences,Physics,Utah State University,Physics (SCI),0%,7.7%,0%,13%,43.5%
20052106,Physical and Mathematical Sciences,Physics,Vanderbilt University,Physics,5.3%,7.1%,11.1%,25.7%,48.6%
20044693,Physical and Mathematical Sciences,Physics,Virginia Polytechnic Institute And State University,Physics,0%,16%,0%,25.9%,63%
20034535,Physical and Mathematical Sciences,Physics,Wake Forest University,Physics,0%,14.3%,0%,25%,31.3%
20058553,Physical and Mathematical Sciences,Physics,Washington State University,Physics and Astronomy,0%,11.8%,7.7%,20.5%,53.8%
20070007,Physical and Mathematical Sciences,Physics,Washington University In St. Louis,Physics,3.4%,3.4%,2.2%,27%,46.1%
20021441,Physical and Mathematical Sciences,Physics,Wayne State University,Physics,0%,8.7%,0%,14.3%,64.3%
20044143,Physical and Mathematical Sciences,Physics,Western Michigan University,Physics,0%,12.5%,0%,30.4%,82.6%
20063739,Physical and Mathematical Sciences,Physics,Yale University,Physics,5%,9.3%,2.6%,21.9%,43.8%
20063302,Physical and Mathematical Sciences,Physics,Yale University,Applied Physics,0%,5.6%,0%,27.8%,50%
20043432,Physical and Mathematical Sciences,Statistics and Probability,Baylor University,Statistical Science,0%,0%,17.6%,52.2%,21.7%
20059073,Physical and Mathematical Sciences,Statistics and Probability,Boston University,Biostatistics,0%,59.1%,0%,76.1%,39.1%
20037367,Physical and Mathematical Sciences,Statistics and Probability,Carnegie Mellon University,Statistics,0%,23.1%,0%,43.9%,36.6%
20019327,Physical and Mathematical Sciences,Statistics and Probability,Case Western Reserve University,Statistics,0%,50%,0%,23.1%,76.9%
20056432,Physical and Mathematical Sciences,Statistics and Probability,Colorado State University,Statistics,0%,9.1%,11.8%,40%,43.3%
20057910,Physical and Mathematical Sciences,Statistics and Probability,Columbia University In The City of New York,Statistics,7.7%,13.3%,6.7%,38.7%,83.9%
20015596,Physical and Mathematical Sciences,Statistics and Probability,Cornell University,Biometry,22.2%,0%,75%,66.7%,44.4%
20016168,Physical and Mathematical Sciences,Statistics and Probability,Cornell University,Statistics,11.8%,0%,0%,28.6%,42.9%
20030050,Physical and Mathematical Sciences,Statistics and Probability,Duke University,Statistics and Decision Sciences,0%,18.8%,0%,33.3%,60.6%
20027458,Physical and Mathematical Sciences,Statistics and Probability,Florida State University,Statistics,0%,8.3%,31.3%,46.7%,62.2%
20019521,Physical and Mathematical Sciences,Statistics and Probability,George Washington University,Statistics,0%,9.1%,0%,26.3%,73.7%
20066464,Physical and Mathematical Sciences,Statistics and Probability,Harvard University,Statistics,10%,20%,16.7%,25%,67.9%
20016731,Physical and Mathematical Sciences,Statistics and Probability,Iowa State University,Statistics,5.9%,26.5%,3%,47.6%,56.1%
20056458,Physical and Mathematical Sciences,Statistics and Probability,Johns Hopkins University,Applied Mathematics & Statistics,8.3%,8.3%,0%,37.1%,62.9%
20028732,Physical and Mathematical Sciences,Statistics and Probability,Kansas State University,Statistics,0%,25%,0%,38.1%,81%
20047247,Physical and Mathematical Sciences,Statistics and Probability,Michigan State University,Statistics,8.3%,16%,0%,57.7%,92.3%
20041667,Physical and Mathematical Sciences,Statistics and Probability,North Carolina State University,Statistics,7.9%,28.6%,8%,56.1%,56.1%
20026941,Physical and Mathematical Sciences,Statistics and Probability,North Dakota State University Main Campus,Statistics,0%,40%,50%,50%,0%
20069092,Physical and Mathematical Sciences,Statistics and Probability,Northwestern University,Statistics,0%,27.3%,0%,50%,75%
20028839,Physical and Mathematical Sciences,Statistics and Probability,Ohio State University Main Campus,Biostatistics,0%,26.3%,0%,58.3%,91.7%
20029375,Physical and Mathematical Sciences,Statistics and Probability,Ohio State University Main Campus,Statistics,0%,23.3%,4%,50%,62.2%
20042132,Physical and Mathematical Sciences,Statistics and Probability,Oklahoma State University Main Campus,Statistics,0%,42.9%,0%,63.6%,45.5%
20018894,Physical and Mathematical Sciences,Statistics and Probability,Oregon State University,Statistics,0%,37.5%,11.1%,38.5%,30.8%
20031790,Physical and Mathematical Sciences,Statistics and Probability,Penn State University,Statistics,4.2%,26.9%,8.3%,50.9%,76.4%
20056047,Physical and Mathematical Sciences,Statistics and Probability,Purdue University Main Campus,Statistics,7.1%,22.7%,5.3%,46.7%,65%
20041243,Physical and Mathematical Sciences,Statistics and Probability,Rice University,Statistics,12.5%,16.7%,29.6%,48.9%,33.3%
20012816,Physical and Mathematical Sciences,Statistics and Probability,Rutgers The State University of New Jersey New Brunswick Campus,Statistics,5.6%,10.5%,10%,42.9%,71.4%
20043335,Physical and Mathematical Sciences,Statistics and Probability,Southern Methodist University,Statistical Science,0%,40%,16.7%,40.7%,55.6%
20052902,Physical and Mathematical Sciences,Statistics and Probability,Stanford University,Statistics,0%,5.3%,5.9%,30.4%,54.3%
20042420,Physical and Mathematical Sciences,Statistics and Probability,Temple University,Statistics,0%,0%,0%,52%,61.2%
20022084,Physical and Mathematical Sciences,Statistics and Probability,Texas A & M University,Statistics,0%,18.8%,0%,38.1%,71.4%
20061252,Physical and Mathematical Sciences,Statistics and Probability,University of California-Berkeley,Statistics,0%,14.3%,0%,23.4%,55.3%
20067463,Physical and Mathematical Sciences,Statistics and Probability,University of California-Davis,Statistics,8.7%,29.2%,12.5%,64.5%,67.7%
20053626,Physical and Mathematical Sciences,Statistics and Probability,University of California-Los Angeles,Statistics,0%,14.3%,0%,40.5%,50%
20048712,Physical and Mathematical Sciences,Statistics and Probability,University of California-Riverside,Applied Statistics,0%,40%,30%,35.5%,58.1%
20014649,Physical and Mathematical Sciences,Statistics and Probability,University of Chicago,Statistics,0%,6.7%,9.1%,48.6%,65.7%
20070434,Physical and Mathematical Sciences,Statistics and Probability,University of California-Santa Barbara,Statistics & Applied Probability,0%,18.2%,18.8%,28.6%,42.9%
20024354,Physical and Mathematical Sciences,Statistics and Probability,University of Connecticut,Statistics PhD,0%,16.7%,0%,32.3%,71%
20013491,Physical and Mathematical Sciences,Statistics and Probability,University of Florida,Statistics,0%,16.7%,50%,43.1%,86.3%
20020002,Physical and Mathematical Sciences,Statistics and Probability,University of Georgia,Statistics,0%,29.4%,0%,45.2%,74.2%
20039349,Physical and Mathematical Sciences,Statistics and Probability,University of Illinois At Urbana-Champaign,Statistics,0%,11.1%,0%,58.8%,82.4%
20020358,Physical and Mathematical Sciences,Statistics and Probability,University of Iowa,Statistics,0%,14.3%,0%,38.7%,93.5%
20028457,Physical and Mathematical Sciences,Statistics and Probability,University of Kentucky,Statistics,0%,7.7%,0%,61.9%,57.1%
20036478,Physical and Mathematical Sciences,Statistics and Probability,University of Maryland Baltimore County,Statistics,0%,0%,16.7%,30%,65%
20050344,Physical and Mathematical Sciences,Statistics and Probability,University of Maryland College Park,Mathematical Statistics,0%,12.5%,14.3%,42.4%,78.8%
20035835,Physical and Mathematical Sciences,Statistics and Probability,University of Michigan-Ann Arbor,Statistics,14.3%,15.8%,18.8%,35.7%,61.9%
20040273,Physical and Mathematical Sciences,Statistics and Probability,University of Minnesota-Twin Cities,Statistics,0%,10.5%,11.1%,35.8%,66%
20025612,Physical and Mathematical Sciences,Statistics and Probability,University of Missouri - Columbia,Statistics,0%,31.3%,22.2%,43.3%,66.7%
20045595,Physical and Mathematical Sciences,Statistics and Probability,University of North Carolina At Chapel Hill,Statistics,0%,0%,0%,30.6%,72.2%
20015321,Physical and Mathematical Sciences,Statistics and Probability,University of New Mexico Main Campus,Statistics,20%,20%,12.5%,37.5%,66.7%
20036711,Physical and Mathematical Sciences,Statistics and Probability,University of Pennsylvania,Biomedical Graduate Studies-Biostatistics and Epidemiology,4.2%,32%,0%,43.3%,40%
20037147,Physical and Mathematical Sciences,Statistics and Probability,University of Pennsylvania,Statistics-Wharton,0%,5.6%,0%,12.5%,54.5%
20069416,Physical and Mathematical Sciences,Statistics and Probability,University of Rochester,Statistics,0%,20%,0%,58.3%,41.7%
20067942,Physical and Mathematical Sciences,Statistics and Probability,University of South Carolina Columbia,Statistics,10%,27.3%,0%,40%,68%
20070081,Physical and Mathematical Sciences,Statistics and Probability,University of Tennessee,Statistics and Management Science,0%,20%,0%,35%,50%
20023397,Physical and Mathematical Sciences,Statistics and Probability,University of Virginia,Statistics,0%,14.3%,0%,66.7%,83.3%
20031088,Physical and Mathematical Sciences,Statistics and Probability,University of Wisconsin-Madison,Statistics,0%,18.2%,14.3%,34.5%,83.1%
20060020,Physical and Mathematical Sciences,Statistics and Probability,University of Washington,Statistics,0%,23.3%,5.9%,50%,52.6%
20044758,Physical and Mathematical Sciences,Statistics and Probability,Virginia Polytechnic Institute And State University,Statistics,0%,17.6%,0%,60%,60%
20044208,Physical and Mathematical Sciences,Statistics and Probability,Western Michigan University,Statistics,0%,14.3%,0%,60%,86.7%
20063810,Physical and Mathematical Sciences,Statistics and Probability,Yale University,Statistics,0%,11.1%,25%,35.7%,71.4%
20017031,Social and Behavioral Sciences,Agricultural and Resource Economics,Clemson University,Applied Economics,4.7%,8.7%,14.3%,38.2%,57.9%
20056225,Social and Behavioral Sciences,Agricultural and Resource Economics,Colorado State University,Agricultural and Resource Economics,0%,18.2%,35.7%,47.1%,23.5%
20015509,Social and Behavioral Sciences,Agricultural and Resource Economics,Cornell University,Applied Economics and Management,5.7%,15%,0%,54.8%,75.6%
20057949,Social and Behavioral Sciences,Agricultural and Resource Economics,Louisiana State University And Agricultural And Mechanical College,Agricultural Economics,6.3%,0%,14.3%,32.1%,71.4%
20028758,Social and Behavioral Sciences,Agricultural and Resource Economics,Ohio State University Main Campus,"Agricultural, Environmental, and Development Economics",15.4%,7.7%,0%,40.3%,69.4%
20041845,Social and Behavioral Sciences,Agricultural and Resource Economics,Oklahoma State University Main Campus,Agricultural Economics,0%,14.3%,20%,23.1%,82.8%
20046714,Social and Behavioral Sciences,Agricultural and Resource Economics,Michigan State University,Agricultural Economics,5.9%,17.6%,20%,36.6%,85.4%
20018904,Social and Behavioral Sciences,Agricultural and Resource Economics,Oregon State University,Agricultural and Resource Economics,0%,30%,9.1%,28.6%,47.6%
20028473,Social and Behavioral Sciences,Agricultural and Resource Economics,Kansas State University,Agricultural Economics,5.3%,5%,7.1%,40.7%,44.4%
20031156,Social and Behavioral Sciences,Agricultural and Resource Economics,Penn State University,"Agricultural, Environmental, and Regional Economics",0%,10%,0%,43.5%,91.3%
20055598,Social and Behavioral Sciences,Agricultural and Resource Economics,Purdue University Main Campus,Agricultural Economics,7.5%,24.4%,20%,35.6%,62.2%
20021690,Social and Behavioral Sciences,Agricultural and Resource Economics,Texas A & M University,Agricultural Economics,8.3%,11.1%,0%,27.9%,72.1%
20060648,Social and Behavioral Sciences,Agricultural and Resource Economics,University of California-Berkeley,Agricultural and Resource Economics,0%,18.8%,13.6%,44.8%,55.2%
20066956,Social and Behavioral Sciences,Agricultural and Resource Economics,University of California-Davis,Agricultural & Resource Economics (Agricultural Economics),0%,12.5%,0%,54.1%,48.6%
20023795,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Connecticut,Agricultural Economics PhD,12.5%,25%,0%,38.1%,76.2%
20013093,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Florida,Food and Resource Economics,11.4%,11.4%,40%,54.3%,57.1%
20019547,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Georgia,Agricultural and Applied Economics,0%,4.8%,0%,22.2%,88.9%
20038764,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Illinois At Urbana-Champaign,Agricultural and Consumer Economics,2.7%,25.6%,7.7%,38.6%,77.2%
20037370,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Kentucky,Agricultural Economics,5.6%,5.9%,0%,36%,76%
20049960,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Maryland College Park,Agricultural and Resource Economics,6.7%,23.5%,0%,43.3%,65.5%
20048181,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Massachusetts Amherst,Resource Economics,0%,27.3%,0%,44.4%,88.9%
20039611,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Minnesota-Twin Cities,Applied Economics,4.9%,29.8%,20.7%,34.2%,57.7%
20025175,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Missouri - Columbia,Agricultural Economics,3.8%,19.2%,0%,14.3%,71.4%
20017251,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Nebraska - Lincoln,Agricultural Economics,6.3%,18.8%,0%,36.4%,81.8%
20065038,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Rhode Island,Environ & Natural Resource Economics,0%,11.1%,11.1%,47.6%,52.4%
20030283,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Wisconsin-Madison,Agricultural and Applied Economics,6.7%,13.3%,0%,37.5%,65.6%
20030539,Social and Behavioral Sciences,Agricultural and Resource Economics,University of Wisconsin-Madison,Development,4.7%,27.9%,14.3%,47.1%,58.8%
20044499,Social and Behavioral Sciences,Agricultural and Resource Economics,Virginia Polytechnic Institute And State University,"Economics, Agriculture and Life Sciences",0%,20.6%,0%,26.2%,85.7%
20060059,Social and Behavioral Sciences,Anthropology,American University,Anthropology,25%,71.4%,31.3%,69.2%,12.3%
20034849,Social and Behavioral Sciences,Anthropology,Arizona State University,Anthropology,0%,35.2%,11%,60.2%,12.8%
