Program ID,Broad Field,Field,Institution Name,Program Name,Average Number of  PhDs Graduated (2002-2006),Percent of Interdisciplinary Faculty (2006),Average GRE Scores (2004-2006),"Percent of
First Year Students with External Fellowships (2005)",Is Student Work Space Provided?,Is Health Insurance Provided?,Number of Student Activities (Max=18)
20012751,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Rutgers The State University of New Jersey New Brunswick Campus,Planning and Public Policy,6.2,0%,682,0%,No,Yes,17
20033727,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",State University of New York At Albany,Public Administration and Policy,6.4,38.7%,703,21.4%,No,Yes,15
20022673,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Syracuse University Main Campus,Public Administration,4,0%,723,0%,Yes,Yes,18
20071161,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Akron,Public Administration and Urban Studies,2.6,7.7%,506,25%,No,No,15
20034085,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Arizona,Management,1,33.3%,583,0%,Yes,Yes,17
20013776,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Arkansas Main Campus,Public Policy,3.6,40.5%,648,0%,No,Yes,14
20049326,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of California-Irvine,Planning Policy and Design,1.8,17.4%,685,20%,Yes,Yes,18
20049368,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of California-Irvine,Social Ecology,1.8,11.8%,655,11.5%,Yes,Yes,18
20014047,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Central Florida,Public Affairs,5.2,31.3%,585,0%,Yes,No,17
20014571,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Chicago,Public Policy,2.6,8%,761,0%,No,Yes,15
20027762,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Colorado Denver (University of Colorado At Denver And Health Sciences Center),Public Affairs,4.6,23.1%,607,0%,No,Yes,17
20012340,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Delaware,Urban Affairs & Public Policy,7.8,23.5%,641,0%,Yes,Yes,16
20019961,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Georgia,Public Administration,3.8,33.3%,640,14.3%,Yes,Yes,18
20043063,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Illinois At Chicago,Public Administration,1.2,0%,583,0%,No,Yes,17
20028428,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Kentucky,Public Administration,1.8,42.9%,657,0%,Yes,Yes,18
20026420,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Louisville,Urban & Public Affairs,4.4,57.9%,648,18.2%,No,Yes,18
20036465,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Maryland Baltimore County,Public Policy,13.6,55.9%,610,0%,No,Yes,18
20050467,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Maryland College Park,Policy Studies,3.2,37.8%,725,0%,No,Yes,17
20035770,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Michigan-Ann Arbor,Public Policy,1,8.5%,712,0%,No,Yes,18
20026242,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Missouri - Kansas City,Public Affairs & Administration,1.4,59.3%,601,11.5%,No,No,12
20045540,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of North Carolina At Chapel Hill,Public Policy,2.2,41.2%,733,0%,No,Yes,18
20036782,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Pennsylvania,Business & Public Policy,1.8,11.8%,648,0%,Yes,Yes,18
20037105,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Pennsylvania,Social Welfare,5.2,6.1%,616,0%,No,Yes,18
20068378,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Southern California,"Policy, Planning & Development",9.2,24%,779,0%,Yes,Yes,17
20061825,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Texas At Austin,Public Policy,2.8,0%,751,0%,Yes,Yes,18
20056186,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Texas At Dallas,Public Affairs,1.8,35.7%,525,0%,No,Yes,17
20056199,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",University of Texas At Dallas,Public Policy and Political Economy,6,70%,648,50%,No,Yes,15
20017565,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Virginia Commonwealth University,Public Policy and Administration,10.6,65.3%,485,8.3%,No,No,18
20044729,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Virginia Polytechnic Institute And State University,Public Administration/Public Affairs,7,26.8%,648,0%,No,Yes,16
20044185,Social and Behavioral Sciences,"Public Affairs, Public Policy and Public Administration",Western Michigan University,Public Administration,4.4,70%,543,0%,No,Yes,18
20043429,Social and Behavioral Sciences,Sociology,Baylor University,Sociology,1.2,8.3%,677,0%,Yes,Yes,16
20036203,Social and Behavioral Sciences,Sociology,Boston College,Sociology,4.8,20.8%,623,0%,Yes,Yes,18
20059387,Social and Behavioral Sciences,Sociology,Boston University,Sociology,3.8,2.9%,600,0%,No,Yes,13
20034823,Social and Behavioral Sciences,Sociology,Bowling Green State University,Sociology,4.4,5.3%,592,0%,No,No,18
20025162,Social and Behavioral Sciences,Sociology,Brandeis University,Sociology,3.6,20%,688,0%,No,Yes,17
20066778,Social and Behavioral Sciences,Sociology,Brigham Young University,Sociology,2.2,0%,530,0%,No,No,11
20018506,Social and Behavioral Sciences,Sociology,Brown University,Sociology,8,43.2%,672,10%,Yes,Yes,18
20019314,Social and Behavioral Sciences,Sociology,Case Western Reserve University,Sociology,2,54.5%,549,0%,No,No,16
20057350,Social and Behavioral Sciences,Sociology,City University of New York Grad. Center,Sociology,10.6,7.5%,600,3.2%,No,No,18
20057884,Social and Behavioral Sciences,Sociology,Columbia University In The City of New York,Sociology,11.2,8.7%,717,0%,No,Yes,16
20016142,Social and Behavioral Sciences,Sociology,Cornell University,Sociology,3.8,0%,623,0%,Yes,Yes,17
20030115,Social and Behavioral Sciences,Sociology,Duke University,Sociology,5,8.3%,710,0%,Yes,Yes,17
20062141,Social and Behavioral Sciences,Sociology,Emory University,Sociology,3.6,26.9%,638,0%,Yes,Yes,17
20034580,Social and Behavioral Sciences,Sociology,Florida International University,Comparative Sociology,3.2,4.5%,665,12.5%,No,Yes,12
20027432,Social and Behavioral Sciences,Sociology,Florida State University,Sociology,3.4,0%,594,0%,Yes,Yes,16
20029508,Social and Behavioral Sciences,Sociology,Fordham University,Sociology,2,9.5%,555,0%,No,No,17
20051576,Social and Behavioral Sciences,Sociology,Georgia State University,Sociology,3.2,8%,549,0%,No,Yes,14
20066273,Social and Behavioral Sciences,Sociology,Harvard University,Organizational Behavior,4.4,8.3%,774,50%,Yes,Yes,17
20066448,Social and Behavioral Sciences,Sociology,Harvard University,Social Policy,1,27.8%,738,60%,No,Yes,17
20066451,Social and Behavioral Sciences,Sociology,Harvard University,Sociology,4,44.1%,722,27.3%,Yes,Yes,18
20026103,Social and Behavioral Sciences,Sociology,Howard University,Sociology,5.4,9.1%,386,0%,No,No,17
20046662,Social and Behavioral Sciences,Sociology,Indiana University At Bloomington,Sociology,7.6,37.8%,621,7.7%,No,Yes,18
20016511,Social and Behavioral Sciences,Sociology,Iowa State University,Human Development & Family Studies,10.6,9.7%,565,0%,Yes,Yes,18
20016715,Social and Behavioral Sciences,Sociology,Iowa State University,Sociology,4.6,10.5%,591,0%,No,Yes,18
20056733,Social and Behavioral Sciences,Sociology,Johns Hopkins University,"Health, Behavior and Society",1.2,2.9%,570,0%,No,Yes,17
20056966,Social and Behavioral Sciences,Sociology,Johns Hopkins University,Population and Family Health Sciences,12.6,14.7%,715,60%,No,Yes,14
20056982,Social and Behavioral Sciences,Sociology,Johns Hopkins University,Sociology,4.4,14.3%,699,0%,Yes,Yes,18
20028729,Social and Behavioral Sciences,Sociology,Kansas State University,Sociology,1.2,0%,511,0%,No,Yes,18
20040846,Social and Behavioral Sciences,Sociology,Kent State University Main Campus,Sociology,2,38.1%,623,0%,No,No,17
20058265,Social and Behavioral Sciences,Sociology,Louisiana State University And Agricultural And Mechanical College,Sociology,2.8,30.4%,583,0%,Yes,Yes,17
20036656,Social and Behavioral Sciences,Sociology,Loyola University Chicago,Sociology,4.6,0%,548,10.3%,No,No,16
20046853,Social and Behavioral Sciences,Sociology,Michigan State University,Criminal Justice,5.4,64.8%,590,0%,Yes,Yes,17
20047221,Social and Behavioral Sciences,Sociology,Michigan State University,Sociology,5.8,50.8%,575,0%,Yes,Yes,18
20024574,Social and Behavioral Sciences,Sociology,Mississippi State University,Sociology,5.2,20%,580,0%,Yes,No,17
20064589,Social and Behavioral Sciences,Sociology,New York University,Sociology,7,5.9%,711,0%,Yes,Yes,18
20041586,Social and Behavioral Sciences,Sociology,North Carolina State University,"Parks, Recreation and Tourism Management",1.4,0%,620,0%,Yes,Yes,18
20041641,Social and Behavioral Sciences,Sociology,North Carolina State University,Sociology,6.2,15%,570,0%,Yes,Yes,18
20031978,Social and Behavioral Sciences,Sociology,Northeastern University,Sociology,5,0%,635,0%,No,Yes,18
20069089,Social and Behavioral Sciences,Sociology,Northwestern University,Sociology,5.8,23.5%,668,0%,Yes,Yes,15
20029346,Social and Behavioral Sciences,Sociology,Ohio State University Main Campus,Sociology,6,2.9%,619,0%,No,Yes,18
20070609,Social and Behavioral Sciences,Sociology,Ohio State University Main Campus,Rural Sociology,1,0%,625,0%,Yes,Yes,18
20042116,Social and Behavioral Sciences,Sociology,Oklahoma State University Main Campus,Sociology,3.8,5.9%,538,20%,Yes,No,16
20031321,Social and Behavioral Sciences,Sociology,Penn State University,Demography,5.2,11.1%,633,0%,No,Yes,18
20031758,Social and Behavioral Sciences,Sociology,Penn State University,Rural Sociology,3.2,60.6%,612,0%,Yes,Yes,18
20031761,Social and Behavioral Sciences,Sociology,Penn State University,Sociology,6.6,18.6%,668,0%,Yes,Yes,18
20032692,Social and Behavioral Sciences,Sociology,Princeton University,Sociology,6.2,46.2%,733,21.4%,Yes,Yes,16
20056034,Social and Behavioral Sciences,Sociology,Purdue University Main Campus,Sociology & Anthropology,6.4,38.6%,580,0%,Yes,Yes,18
20012793,Social and Behavioral Sciences,Sociology,Rutgers The State University of New Jersey New Brunswick Campus,Sociology,5.8,0%,667,14.3%,No,Yes,15
20040590,Social and Behavioral Sciences,Sociology,Southern Illinois University Carbondale,Sociology,5.2,0%,515,0%,Yes,No,17
20052889,Social and Behavioral Sciences,Sociology,Stanford University,Sociology,5.6,41.2%,737,0%,Yes,Yes,14
20033743,Social and Behavioral Sciences,Sociology,State University of New York At Albany,Sociology,9.4,3.8%,627,0%,Yes,Yes,15
20037574,Social and Behavioral Sciences,Sociology,State University of New York At Binghamton,Sociology,7.8,23.1%,559,0%,No,Yes,18
20038722,Social and Behavioral Sciences,Sociology,State University of New York At Buffalo,Sociology,5,11.8%,573,20%,No,Yes,16
20038382,Social and Behavioral Sciences,Sociology,State University of New York At Stony Brook,Sociology,3.8,5.3%,614,0%,Yes,Yes,17
20022699,Social and Behavioral Sciences,Sociology,Syracuse University Main Campus,Sociology,4.2,34.8%,635,0%,No,Yes,17
20042404,Social and Behavioral Sciences,Sociology,Temple University,Sociology,3.2,17.6%,635,60%,Yes,Yes,15
20022039,Social and Behavioral Sciences,Sociology,Texas A & M University,Sociology,4.8,0%,551,0%,No,Yes,16
20071174,Social and Behavioral Sciences,Sociology,University of Akron,Sociology,1.6,0%,589,0%,Yes,No,13
20048602,Social and Behavioral Sciences,Sociology,University of Alabama At Birmingham,Medical Sociology,3.2,45%,603,0%,Yes,Yes,17
20034292,Social and Behavioral Sciences,Sociology,University of Arizona,Sociology,5.8,26.9%,665,50%,Yes,Yes,17
20061236,Social and Behavioral Sciences,Sociology,University of California-Berkeley,Sociology,9.4,12.2%,726,5.9%,No,Yes,18
20067434,Social and Behavioral Sciences,Sociology,University of California-Davis,Sociology,5.8,29.5%,598,0%,Yes,Yes,18
20049096,Social and Behavioral Sciences,Sociology,University of California-Irvine,"Criminology, Law and Society",2.8,11.5%,658,0%,No,Yes,17
20049371,Social and Behavioral Sciences,Sociology,University of California-Irvine,Sociology,2,41.7%,663,0%,Yes,Yes,18
20053600,Social and Behavioral Sciences,Sociology,University of California-Los Angeles,Sociology,12.2,20%,702,21.1%,No,Yes,17
20048958,Social and Behavioral Sciences,Sociology,University of California-Riverside,Sociology,5.8,15.4%,616,0%,No,Yes,16
20065779,Social and Behavioral Sciences,Sociology,University of California-San Diego,Sociology,4.8,12.9%,654,27.3%,No,Yes,18
20069571,Social and Behavioral Sciences,Sociology,University of California-San Francisco,Sociology,3.4,59.1%,631,0%,No,Yes,18
20070421,Social and Behavioral Sciences,Sociology,University of California-Santa Barbara,Sociology,5.4,33.3%,613,7.7%,Yes,Yes,18
20023782,Social and Behavioral Sciences,Sociology,University of California-Santa Cruz,Sociology,4,21.4%,545,0%,Yes,Yes,15
20014623,Social and Behavioral Sciences,Sociology,University of Chicago,Sociology,14,62.3%,698,8.3%,No,Yes,17
20064123,Social and Behavioral Sciences,Sociology,University of Colorado At Boulder,Sociology,9,6.9%,627,0%,No,Yes,14
20027678,Social and Behavioral Sciences,Sociology,University of Colorado Denver (University of Colorado At Denver And Health Sciences Center),Health and Behavioral Sciences,5.8,86.5%,605,5.3%,No,Yes,13
20024338,Social and Behavioral Sciences,Sociology,University of Connecticut,Sociology PhD,3.2,25%,580,0%,Yes,Yes,16
20068718,Social and Behavioral Sciences,Sociology,University of Connecticut,Human Development and Family Studies PhD,4.6,16%,574,0%,Yes,Yes,12
20012227,Social and Behavioral Sciences,Sociology,University of Delaware,Human Development and Family Studies,4.4,0%,536,0%,No,Yes,2
20012337,Social and Behavioral Sciences,Sociology,University of Delaware,Sociology,2.6,0%,556,0%,Yes,Yes,14
20013475,Social and Behavioral Sciences,Sociology,University of Florida,Sociology,5,27.6%,585,0%,No,Yes,17
20019987,Social and Behavioral Sciences,Sociology,University of Georgia,Sociology,3.8,28.6%,673,0%,Yes,Yes,17
20014937,Social and Behavioral Sciences,Sociology,University of Hawaii At Manoa,Sociology,3.4,0%,555,0%,No,Yes,16
20043092,Social and Behavioral Sciences,Sociology,University of Illinois At Chicago,Sociology,3,9.5%,642,0%,Yes,Yes,16
20039077,Social and Behavioral Sciences,Sociology,University of Illinois At Urbana-Champaign,Human and Community Development,3.6,26.9%,624,0%,Yes,Yes,17
20039310,Social and Behavioral Sciences,Sociology,University of Illinois At Urbana-Champaign,Sociology,5.2,51.3%,687,0%,Yes,Yes,14
20020507,Social and Behavioral Sciences,Sociology,University of Iowa,Sociology,3.6,5.3%,750,0%,Yes,Yes,18
20051369,Social and Behavioral Sciences,Sociology,University of Kansas,Sociology,3,33.3%,668,0%,Yes,No,17
20028431,Social and Behavioral Sciences,Sociology,University of Kentucky,Sociology,4.4,63.3%,584,0%,No,Yes,17
20050506,Social and Behavioral Sciences,Sociology,University of Maryland College Park,Sociology,6,21.1%,654,0%,No,Yes,16
20048194,Social and Behavioral Sciences,Sociology,University of Massachusetts Amherst,Sociology,4.6,50%,644,0%,Yes,Yes,17
